address,unit,beds,baths,rent,sqft,avail,pets,parking,built,renovated,num_units,stories,fitness,outdoor
"142 West End Ave, New York, NY 10023",-1,2,2.0,4950,1300,1,,Garage,N/A,N/A,N/A,N/A,N/A,N/A
"67 W 69th St, New York, NY 10023",-1,1,1.0,2350,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"200 W 67th St, New York, NY 10023",-1,3,3.5,11900,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"170 Amsterdam Ave, New York, NY 10023",Studio C 4,0,1.0,3940,519,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Studio C 4,0,1.0,3855,519,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Studio D 2,0,1.0,4021,533,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Studio D 2,0,1.0,3936,533,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",One Bedroom C 15-20,1,1.0,4844,608,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",One Bedroom C 15-20,1,1.0,4732,608,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",One Bedroom G 9-13,1,1.0,5281,686,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",One Bedroom G 9-13,1,1.0,5169,686,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Two Bedroom D 15-18,2,2.0,7805,1157,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Two Bedroom D 15-18,2,2.0,7640,1157,1,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Three Bedroom A 19,3,2.0,12315,1413,0,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",Three Bedroom A 19,3,2.0,11993,1413,0,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",One Bedroom M 3-12,1,1.0,5530,732,0,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
"170 Amsterdam Ave, New York, NY 10023",One Bedroom M 3-12,1,1.0,5418,732,0,Dogs and Cats Allowed:,,2015,N/A,236,21,Fitness Center;Playground,Balcony;Patio
